title,label
Buchmesse 2.0 – Der Kindle und die Flucht nach vorne,0
Chinesischer Millionär kauft ein Hunde-Schlachthaus und rettet alle Tiere.,1
4-mal schaurige Halloween Deko für deine Halloween Party,1
Brandy Cook schreibt Abschiedsbrief an verstorbenen Sohn,1
"Verwandle deine alte Jeans in eine schicke, praktische Gartenschürze.",1
Ariane 5 bringt zwei Telekommunikationssatelliten ins All,0
Flugzeug kehrt um für Passagierin - aus Mitgefühl!,1
Basteln mit Kastanien: 10 lustige Spiele und Figuren,1
Verbranntes Gesicht: Baby Deyvion überlebt Wohnungsbrand,1
"Bertelsmann platziert Anleihen im Wert von 1,5 Milliarden Euro",0
Arabische Flugblätter hetzen Flüchtlinge auf,0
Vater postet Foto von Patchwork-Familie mit inspirierender Botschaft. ,1
"16 Bein-Tattoos, die Blicke auf sich ziehen",1
Mädchentraum: Vater baut Tochter wunderschönes Prinzessinnen-Bett. ,1
14 Menschen mit Albinismus zeigen ihre einmalige Schönheit,1
Atomausstieg: Alleingang Lindners irritiert FDP-Bundestagsfraktion,0
"13 Produkt-Designs, die alles andere in den Schatten stellen",1
Air Berlin übernimmt Deutsche BA,0
16 kreative Halloweenkostüme für Kinder,1
Armenischer Journalist wurde in Istanbul ermordet,0
Herbstdeko für die Haustür: 14 Ideen zum Selbermachen,1
Kurios: 44-jähriger Norweger bleibt mit Hoden in IKEA-Hocker stecken. ,1
Bundestag setzt BVerfG-Urteil um: Das ganze Parlament muss Euro-Hilfen zustimmen,0
Arbeitslosenzahlen November 2005,0
Brasilianische Generalstaatsanwaltschaft klagt gegen Weltmeisterschaftsgesetz,0
China: Handelbeziehungen? Ja! Menschenrechte? Nein!,0
Ban Ki-moon als neuer UNO-Generalsekretär vereidigt,0
Anschlag im Irak: mindestens 90 Tote,0
14 Bilder im gleichen Outfit: Model posiert mit Freundin,1
"13 LEGO-Spiele und Aktivitäten, die übers Bauen hinausgehen",1
"14 skurrile Dinge, die nur im Flugzeug passieren",1
5 wundervolle Ideen mit Zement und Beton,1
"11 Männer, die nach Jahren wieder zum Friseur gegangen sind",1
Möbelpacker hilft Seniorin bei Fahrstuhlpanne auf rührende Weise.,1
Ausschreitungen gegen Roma in Italien,0
Amerikanerin hat die längsten Fingernägel der Welt - bis zum Unfall.,1
Algerien: Zwölf Tote bei Bombenanschlägen,0
"Wohnung ausmisten: 10 Dinge, die du aussortieren kannst",1
Chinesische Staatsbank will Dresdner Bank kaufen,0
Das sind die vielleicht bizarrsten Hochzeits-Fotos der Welt!,1
Blinde Sphynx-Katze Jasper wird Internet-Star,1
Große Verwandlung: Geretteter Hund bekommt 15 Kilo Fell abgeschert. ,1
Bahnpreise steigen vorerst nicht,0
Chef überrascht schwangere Angestellte mit großzügigem Angebot.,1
"Achtung, drastische Bilder: Indisches Baby mit schwerer Hauterkrankung.",1
14 Alptraum-Toiletten,1
2012 – das Jahr der Genossenschaften,0
Kranke Mutter bereitet 18. Geburtstag ihres Babys vor,1
"8 Upcycling-Ideen, die alte Kleidung besser als neu machen",1
Kartondeckel sinnvoll als Deckel für Einweckgläser wiederverwenden. ,1
Anzeichen für einen bevorstehenden Militärputsch in Fidschi,0
Baden-Württemberg: Wirt protestiert mit Bierzelt im Festsaal gegen das Rauchverbot,0
100 Staaten unterzeichnen in Oslo Konvention gegen Streubomben,0
Ausgesetzte Hündin wird im Tierheim gesund gepflegt,1
"Diese 12 Moderegeln sind da, um gebrochen zu werden",1
"8 Tipps, wenn sich Oma und Opa in die Erziehung einmischen",1
Bürgerentscheid: Leipziger gegen Verkauf ihrer Stadtwerke,0
